id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
1077501,2011,01/12/2011,1012015,10.0,RENT,1,Low,24000,1,5000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,27.65,5861.071414,5000.0,0.0,162.87,munster
1077430,2011,01/12/2011,1042013,0.5,RENT,1,Low,30000,1,2500, 60 months,2,INDIVIDUAL,1,car,2,High,2,Bad Loan,1,15.27,C,3,1.0,1008.71,456.46,117.08,59.83,leinster
1077175,2011,01/12/2011,1062014,10.0,RENT,1,Low,12252,1,2400, 36 months,1,INDIVIDUAL,1,small_business,3,High,2,Good Loan,0,15.96,C,3,8.72,3003.653644,2400.0,0.0,84.33,cannught
1076863,2011,01/12/2011,1012015,10.0,RENT,1,Low,49200,1,10000, 36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,13.49,C,3,20.0,12226.30221,10000.0,0.0,339.31,ulster
1075358,2011,01/12/2011,1012016,1.0,RENT,1,Low,80000,1,3000, 60 months,2,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,12.69,B,2,17.94,3242.17,2233.1,0.0,67.79,ulster
1075269,2011,01/12/2011,1012015,3.0,RENT,1,Low,36000,1,5000, 36 months,1,INDIVIDUAL,1,wedding,5,Low,1,Good Loan,0,7.9,A,1,11.2,5631.377753,5000.0,0.0,156.46,munster
1069639,2011,01/12/2011,1012016,8.0,RENT,1,Low,47004,1,7000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,23.51,8136.84,5110.85,0.0,170.08,leinster
1072053,2011,01/12/2011,1012015,9.0,RENT,1,Low,48000,1,3000, 36 months,1,INDIVIDUAL,1,car,2,High,2,Good Loan,0,18.64,E,5,5.35,3938.14433,3000.0,0.0,109.43,ulster
1071795,2011,01/12/2011,1042012,4.0,OWN,2,Low,40000,1,5600, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,21.28,F,6,5.55,646.02,162.02,189.06,152.39,ulster
1071570,2011,01/12/2011,1112012,0.5,RENT,1,Low,15000,1,5375, 60 months,2,INDIVIDUAL,1,other,4,Low,1,Bad Loan,1,12.69,B,2,18.08,1476.19,673.48,269.29,121.45,munster
1070078,2011,01/12/2011,1062013,5.0,OWN,2,Low,72000,1,6500, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.12,7677.52,6500.0,0.0,153.45,munster
1069908,2011,01/12/2011,1092013,10.0,OWN,2,Low,75000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,10.78,13943.08,12000.0,0.0,402.54,ulster
1064687,2011,01/12/2011,1072012,0.5,RENT,1,Low,30000,1,9000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,13.49,C,3,10.08,2270.7,1256.14,444.3,305.38,leinster
